"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"

"278027840","Black","Parts / Dish","Used","","Black Dish 8 x 8 Inverted &#40;Radar&#41; - Solid Studs indigo A 2","","€18.71","2","1","0%","","3961","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.57","","1/5/2022","","EUR"
"278027841","Black","Parts / Door","Used","","Black Door 1 x 4 x 5 Right with 6 Panes Grand Gris B 6","","€17.20","1","1","0%","","73312","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4","","1/5/2022","","EUR"
"278027842","Black","Parts / Slope","Used","","Black Slope 45 3 x 4 Double / 33 Etagere Indigo C 1","","€16.13","1","1","0%","","4861","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2","","1/5/2022","","EUR"
"278027843","Yellow","Parts / Plate, Modified","Used","","Yellow Plate, Modified 1 x 2 with Long Stud Receptacle (Space Wing) Grand Noir F 1","","€16.12","1","1","0%","","4596","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1","","1/5/2022","","EUR"
"278027844","Black","Parts / Electric, Battery Box","Used","","Black Electric 9V Battery Box Small Assembly Malette Noir A 1","","€14.55","1","1","0%","","4760c01","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","18","","1/5/2022","","EUR"
"278027845","Blue","Parts / Aircraft","Used","","Blue Engine, Smooth Large, 1 x 2 Thin Top Plate Etagere Indigo C 1","","€9.50","1","1","0%","","4868a","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.32","","1/5/2022","","EUR"
"278027846","Black","Parts / Technic, Steering","Used","","Black Technic, Steering Arm Small with Pin Hole and Tow Ball Grand Gris D 4","","€7.53","2","1","0%","","6571","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.79","","1/5/2022","","EUR"
"278027847","White","Parts / Wedge, Plate","Used","","White Wedge, Plate 8 x 8 with 4 x 4 Cutout Etagere Indigo C 3","","€6.84","1","1","0%","","4475","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.27","","1/5/2022","","EUR"
"278027848","Brown","Parts / Ladder","Used","","Brown Rope Bridge indigo A 2","","€6.50","1","1","0%","","2549","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","8.82","","1/5/2022","","EUR"
"278027849","Yellow","Parts / Technic, Axle","Used","","Yellow Technic, Axle 32L Malette Noir A 1","","€6.33","2","1","0%","","50450","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.75","","1/5/2022","","EUR"
